FarmName,ResourceGroup,VmScaleset,Env,Base
Green,zusw-prod-svc-rg,zuswpsssg,PROD,ZUSWP1DEPLOY2
Black,zusw-prod-svc-rg,zuswpsssb,PROD,ZUSWP1DEPLOY2
Green,zusw2-prod-svc-rg,zus2psssg,PROD,ZUS2P1DEPLOY2
Black,zusw2-prod-svc-rg,zus2psssb,PROD,ZUS2P1DEPLOY2
Red,zusw2-psssr-rg,zus2psssr,STAGING,ZUS2P1DEPLOY2
Green-LS,zusw-prod-svc-rg,zuswplssg,PROD-LS,zuswp1deploy2
Black-LS,zusw-prod-svc-rg,zuswplssb,PROD-LS,zuswp1deploy2
Green-LS,zus2-prod-lrwcf-rg,zus2plssg,PROD-LS,zus2p1deploy2
Black-LS,zus2-prod-lrwcf-rg,zus2plssb,PROD-LS,zus2p1deploy2
Green-LS,zeuw-prod-svc-rg,zeuwplssg,PROD-LS,zus2p1deploy2
Black-LS,zeuw-prod-svc-rg,zeuwplssb,PROD-LS,zus2p1deploy2
Green-LS,zsea-prod-svc-rg,zseaplssg,PROD-LS,zus2p1deploy2
Black-LS,zsea-prod-svc-rg,zseaplssb,PROD-LS,zus2p1deploy2
Green-LRWCF,zusw2-prod-svc-rg,zus2plrsg,PROD_LRWCF,zus2p1deploy2
Black-LRWCF,zusw2-prod-svc-rg,zus2plrsb,PROD_LRWCF,zus2p1deploy2
Green-LRWCF,zusw-prod-svc-rg,zuswplrsg,PROD_LRWCF,ZUSWP1DEPLOY2
Black-LRWCF,zusw-prod-svc-rg,zuswplrsb,PROD_LRWCF,ZUSWP1DEPLOY2
PRS-Green,zusw2-prs-svc-rg,zus2r1ssg,PRS,zus2r1ssdeploy1
PRS-Black,zusw2-prs-svc-rg,zus2r1ssb,PRS,zus2r1ssdeploy1
PRS-Green-LRWCF,zusw2-prs-svc-rg,zus2r1lrg,PRS-LRWCF,zus2r1ssdeploy1
PRS-Black-LRWCF,zusw2-prs-svc-rg,zus2r1lrb,PRS-LRWCF,zus2r1ssdeploy1
PRS-Green-LS,zusw2-prs-svc-rg,zus2r1lsg,PRS-LS,zus2r1lsdeploy1
PRS-Black-LS,zusw2-prs-svc-rg,zus2r1lsb,PRS-LS,zus2r1lsdeploy1
CI-Black,zusw2-ci-svc-rg,zus2cissb,CI,zus2cissdeploy1
CI-Black-LRWCF,zusw2-ci-svc-rg,zus2cilrb,CI-LRWCF,zus2cissdeploy1
CI-Black-LS,zusw2-ci-svc-rg,zus2cilsb,CI-LS,zus2cissdeploy1
Q1-Black,zusw2-q1-svc-rg,zus2q1ssb,Q1,zus2q1ssdeploy1
Q1-Black-LRWCF,zusw2-q1-svc-rg,zus2q1lrb,Q1-LRWCF,zus2q1ssdeploy1
Q1-Black-LS,zusw2-q1-svc-rg,zus2q1lsb,Q1-LS,zus2q1ssdeploy1
Q2-Black,zusw2-q2-svc-rg,zus2q2ssb,Q2,zus2q2ssdeploy1
Q2-Black-LRWCF,zusw2-q2-svc-rg,zus2q2lrb,Q2-LRWCF,zus2q2ssdeploy1
Q2-Black-LS,zusw2-q2-svc-rg,zus2q2lsb,Q2-LS,zus2q2ssdeploy1
Q3-Black,zusw2-q3-svc-rg,zus2q3ssb,Q3,zus2q3ssdeploy1
Q3-Black-LRWCF,zusw2-q3-svc-rg,zus2q3lrb,Q3-LRWCF,zus2q3ssdeploy1
Q3-Black-LS,zusw2-q3-svc-rg,zus2q3lsb,Q3-LS,zus2q3ssdeploy1
QA,zusw-qa-svso-rg,zuswqsssa,QA,ZUSWQ1DEPLOY2
UAT-Black,zusw2-uat-svc-rg,zus2u1ssb,UAT,zus2u1ssdeploy1
UAT-Black-LRWCF,zusw2-uat-svc-rg,zus2u1lrb,UAT-LRWCF,zus2u1ssdeploy1
UAT-Black-LS,zusw2-uat-svc-rg,zus2u1lsb,UAT-LS,zus2u1ssdeploy1
