FarmName,ResourceGroup,VmScaleset,Env,Base
Green,zusw-prod-web-rg,zuswpwssg,PROD,zuswp1deploy1
Black,zusw-prod-web-rg,zuswpwssb,PROD,zuswp1deploy1
Green,zusw2-prod-web-vmss-rg,zus2pwssg,PROD,zus2p1deploy1
Black,zusw2-prod-web-vmss-rg,zus2pwssb,PROD,zus2p1deploy1
Green,zeuw-prod-web-vmss-rg,zeuwpwsg2,PROD,zeuwp1deploy1
Black,zeuw-prod-web-vmss-rg,zeuwpwsb2,PROD,zeuwp1deploy1
Green,zsea-prod-web-vmss-rg,zseapwsg2,PROD,zseap1deploy1
Black,zsea-prod-web-vmss-rg,zseapwsb2,PROD,zseap1deploy1
HL-Green,zusw-prod-hl-rg,zuswphlsg,PROD-HL,zuswp1deploy1
HL-Green,zus2-prod-hl-rg,zus2phlsg,PROD-HL,zus2p1deploy1
HL-Green,zeuw-prod-hl-rg,zeuwphlsg,PROD-HL,zeuwp1deploy1
HL-Green,zsea-prod-hl-rg,zseaphlsg,PROD-HL,zseap1deploy1
HL-Black,zusw-prod-hl-rg,zuswphlsb,PROD-HL,zuswp1deploy1
HL-Black,zus2-prod-hl-rg,zus2phlsb,PROD-HL,zus2p1deploy1
HL-Black,zeuw-prod-hl-rg,zeuwphlsb,PROD-HL,zeuwp1deploy1
HL-Black,zsea-prod-hl-rg,zseaphlsb,PROD-HL,zseap1deploy1
Green-Admin,zusw2-prod-admin-rg,zus2p1asg,PROD-Admin,zus2p1asdeploy1
Black-Admin,zusw2-prod-admin-rg,zus2p1asb,PROD-Admin,zus2p1asdeploy1
Green-Admin,zuse2-prod-admin-rg,zuse2pasg,PROD-Admin,zuse2pasdeploy1
Black-Admin,zuse2-prod-admin-rg,zuse2pasb,PROD-Admin,zuse2pasdeploy1
Red,zusw2-prod-web-rg,zus2pwssr,STAGING,zuswp1deploy1
QA,zusw-qa-web-rg,zuswqwssa,QA,ZUSWQ1DEPLOY1
PRS-Green,zusw2-prs-web-rg,zus2r1wsg,PRS,zus2r1wsdeploy1
PRS-Black,zusw2-prs-web-rg,zus2r1wsb,PRS,zus2r1wsdeploy1
PRS-Green-HL,zusw2-prs-hl-rg,zus2r1hlg,PRS-HL,zus2r1wsdeploy1
PRS-Black-HL,zusw2-prs-hl-rg,zus2r1hlb,PRS-HL,zus2r1wsdeploy1
PRS-Green-Admin,zusw2-prs-admin-rg,zus2r1asg,PRS-Admin,zus2r1asdeploy1
PRS-Black-Admin,zusw2-prs-admin-rg,zus2r1asb,PRS-Admin,zus2r1asdeploy1
CI-Black,zusw2-ci-web-rg,zus2ciwsb,CI,zus2ciwsdeploy1
CI-Black-Admin,zusw2-ci-admin-rg,zus2ciasb,CI-Admin,zus2ciasdeploy1
CI-Black-HL,zusw2-ci-hl-rg,zus2cihlb,CI,zus2ciasdeploy1
Q1-Black,zusw2-q1-web-rg,zus2q1wsb,Q1,zus2q1wsdeploy1
Q1-Black-Admin,zusw2-q1-admin-rg,zus2q1asb,Q1-Admin,zus2q1asdeploy1
Q1-Black-HL,zusw2-q1-hl-rg,zus2q1hlb,Q1,zus2q1asdeploy1
Q2-Black,zusw2-q2-web-rg,zus2q2wsb,Q2,zus2q2wsdeploy1
Q2-Black-Admin,zusw2-q2-admin-rg,zus2q2asb,Q2-Admin,zus2q2asdeploy1
Q2-Black-HL,zusw2-q2-hl-rg,zus2q2hlb,Q2,zus2q2asdeploy1
Q3-Black,zusw2-q3-web-rg,zus2q3wsb,Q3,zus2q3wsdeploy1
Q3-Black-Admin,zusw2-q3-admin-rg,zus2q3asb,Q3-Admin,zus2q3asdeploy1
Q3-Black-HL,zusw2-q3-hl-rg,zus2q3hlb,Q3,zus2q3asdeploy1
UAT-Black,zusw2-uat-web-rg,zus2u1wsb,UAT,zus2u1wsdeploy1
UAT-Black-Admin,zusw2-uat-admin-rg,zus2u1asb,UAT-Admin,zus2u1asdeploy1
UAT-Black-HL,zusw2-uat-hl-rg,zus2u1hlb,UAT,zus2u1wsdeploy1
